Time_id,Bengaluru,Arasikere,Hassana,Mysuru,Shivamogga
1,7956.521739,0,7600,7952.941176,7781.25
2,6780.952381,0,5400,6638.888889,6800
3,6544,0,6000,6535,6894.736842
4,6200,0,0,7126.315789,7000
5,7141.666667,0,7435,7004.761905,7052.631579
6,7000,6400,6715.75,7036.363636,7027.777778
7,7160,6705,6597,6666.666667,6963.157895
8,6636,6425,1150,6857.142857,6073.809524
9,6370.833333,6200,5993.75,6744.444444,5810.526316
10,6538.095238,6125,6162.666667,6683.333333,5819.047619
11,6420,5525,5865,6146.666667,5966.666667
12,6600,6061.333333,6140.714286,5844.444444,6015.789474
13,6304.347826,5578.5,6121.625,5680,6042.857143
14,7015.47619,6850,6553,6144.117647,6441.176471
15,6930,6468.75,6594.571429,6045,6500
16,6771.428571,6058.75,6545.4,6453.846154,6576.923077
17,6598.75,6008.333333,6172.5,6744.444444,6470
18,6466.8,6067.666667,6050,6772.222222,6357.142857
19,6472,5959.333333,5994,6571.428571,6290.47619
20,6520.833333,5745,6092.4,6695,5966.666667
21,6360,5708.333333,6005.666667,6694.736842,6230.434783
22,6749.25,5787.5,6283.333333,6784.615385,6683.333333
23,6608.636364,6455,6115.2,6785.714286,6389.473684
24,6589.791667,5635,6130.5,6790.909091,6307.954545
25,6497.916667,6709,6346.857143,6727.272727,6164.583333
26,6369.565217,6205.714286,6408,6715.789474,6067.272727
27,6323.2,5696,6095.833333,6326.315789,6211.818182
28,6363.809524,6120,6256,5890,6355.714286
29,6429.583333,6112.5,7971.333333,6323.809524,6375.6
30,6632.2,5847.5,6471.75,6162.5,6407.916667
31,7183.6,6500,7035.8,7177.777778,6514.583333
32,7358.333333,6331,7414,7231.25,7026.666667
33,7420.909091,6381,7253.5,7383.333333,7195.714286
34,7294.736842,6933.333333,7100,6892.307692,6981.5
35,7281.818182,6520,7053,7421.428571,7241.363636
36,7220,6837.5,6697.333333,7328.571429,7235.217391
37,7044.347826,6231.25,6370.5,6905.555556,6878.26087
38,7095.454545,6120,6562.75,6988.888889,6710.454545
39,6904.166667,6477.5,6675,7100,6658.181818
40,7131.304348,6873.333333,6971,7150,7179.545455
41,7144.583333,6783.2,6900,7221.052632,7441.666667
42,7059.166667,6808.333333,6888,7152.941176,7567.083333
43,7073.076923,,6832.666667,7217.647059,7231.153846
44,6945.833333,4487.5,6624,7193.333333,7012.173913
45,6780.869565,6983.333333,6747,7292.857143,7229.565217
46,7181.818182,6875,6825,7295,7109.52381
47,7253.076923,6717,6969,7342.857143,7260
48,7243.333333,5184.666667,6902,7231.25,7109.52381
49,7014,12683.14286,6859.666667,6910,6873.913043
50,6948.333333,6469.166667,6804.666667,7261.111111,6905.555556
51,6796,4833.25,6769,7007.692308,7009.52381
52,6691.666667,6381.25,6925.5,7145.454545,6347.368421
53,6965.833333,6750,6842.666667,7208,7337.5
54,7437.5,6533.333333,6810.8,7228.571429,7258.333333
55,7668,6605,6790.5,7194.615385,7252.173913
56,7813.636364,7168,7410,7145.454545,6940
57,7883.333333,7483.333333,7660,7902.631579,7233.333333
